id_cliente,nome,email,cpf
177,Mirella da Conceição,manuela62@bol.com.br,146.529.078-85
178,Isabelly Aragão,joao-guilherme35@uol.com.br,392.107.548-32
179,Heloísa Costela,igorda-mata@ig.com.br,927.038.154-41
180,Sra. Daniela Teixeira,stephany73@pires.br,468.179.530-57
181,Luana Moura,gomesdavi-luiz@fogaca.com,613.972.085-03
182,Lívia Moura,xcardoso@araujo.br,290.831.547-50
183,Anthony Fernandes,gabrielasouza@correia.org,341.079.862-50
184,Maria Vitória Teixeira,melissada-conceicao@pereira.com,953.471.026-16
185,Luiz Miguel Viana,cribeiro@moura.org,051.279.643-25
186,Dr. Pedro da Luz,zda-mata@hotmail.com,170.298.543-14
187,Luiz Gustavo Novaes,breno34@yahoo.com.br,054.923.781-04
188,Heloísa da Mata,zmoura@bol.com.br,416.039.825-15
189,Sr. Bruno Martins,ana-livia96@hotmail.com,759.082.316-30
190,Raul Nunes,benicioda-conceicao@bol.com.br,702.819.456-67
191,Brenda Porto,ana-luiza19@hotmail.com,856.297.104-94
192,Srta. Luna Silveira,ferreirasophie@yahoo.com.br,734.581.062-35
193,Camila Pires,maria-cecilia51@jesus.com,253.018.476-35
194,Dr. Lucas Gabriel Vieira,campospedro-henrique@rocha.br,612.750.389-21
195,Yago Vieira,ana-juliasantos@costa.com,428.751.639-73
196,Fernando da Paz,leticiajesus@bol.com.br,812.469.573-37
197,Amanda Araújo,ferreiramaite@peixoto.org,473.658.210-35
198,Srta. Bruna Pires,nrezende@yahoo.com.br,925.678.410-67
199,Sr. Ian Duarte,fogacaana-sophia@hotmail.com,210.934.576-43
200,Dr. Diogo da Cruz,tsales@uol.com.br,016.438.725-08
